name,object_id,epoch,mean_motion,eccentricity,inclination,ra_of_asc_node,arg_of_pericenter,mean_anomaly,ephemeris_type,classification_type,norad_cat_id,element_set_no,rev_at_epoch,bstar,mean_motion_dot,mean_motion_ddot,launch_country
TIANQI-21,2023-135A,2024-05-04 17:59:17.248416+00:00,14.22247342,0.0012658,49.9701,164.7955,76.9391,283.2933,0,U,57792,999,3451,7.5425e-05,1e-07,0.0,Djibouti
TIANQI-22,2023-135B,2024-05-04 17:32:03.388128+00:00,14.2223402,0.0013198,49.9661,165.3013,79.8588,280.3812,0,U,57793,999,3450,0.00016516,2.1e-06,0.0,Thailand
STARLINK-30398,2023-138H,2024-05-04 20:44:57.119136+00:00,15.02534295,0.0001723,43.0024,297.5852,272.375,87.6895,0,U,57815,999,3724,0.00038036,4.938e-05,0.0,Syrian Arab Republic
STARLINK-30285,2023-141A,2024-05-04 12:28:07.456800+00:00,15.27994403,0.0001768,53.1264,175.9707,103.4605,256.6592,0,U,57840,999,3711,-0.00017277,-5.13e-05,0.0,Mayotte
STARLINK-30292,2023-141E,2024-05-04 09:47:18.763584+00:00,15.2799012,0.0001685,53.1313,177.4168,95.5777,264.5414,0,U,57844,999,3707,-0.00034219,-9.808e-05,0.0,Bosnia and Herzegovina
STARLINK-30393,2023-144C,2024-05-04 15:56:01.783392+00:00,15.02568358,0.000136,43.0051,349.6007,265.6321,94.4366,0,U,57866,999,3617,0.00031061,3.998e-05,0.0,Iraq
STARLINK-30466,2023-146P,2024-05-04 16:57:34.670592+00:00,15.02526982,0.0001465,43.0046,15.4104,257.7451,102.3227,0,U,57904,999,3558,-8.7555e-05,-1.386e-05,0.0,Norfolk Island
STARLINK-30483,2023-147B,2024-05-04 10:29:10.478112+00:00,15.25903921,0.0001286,43.0025,21.1998,261.5304,98.5402,0,U,57914,999,3518,0.00034551,8.789e-05,0.0,Norfolk Island
STARLINK-30496,2023-147G,2024-05-04 10:58:15.333888+00:00,15.02525745,0.0001405,43.0048,29.8337,257.0855,102.9831,0,U,57919,999,3519,8.976e-05,1.009e-05,0.0,Mayotte
STARLINK-30471,2023-147V,2024-05-04 03:32:59.534592+00:00,15.02526059,0.0001469,43.0045,30.9505,247.9796,112.0891,0,U,57932,999,3510,0.00024155,3.06e-05,0.0,Bahamas
STARLINK-30714,2023-148E,2024-05-04 17:05:54.607776+00:00,15.28031782,0.000106,53.1079,274.0484,97.4792,262.6328,0,U,57939,999,3515,-8.5867e-05,-2.729e-05,0.0,China
STARLINK-30708,2023-148K,2024-05-04 17:32:50.591904+00:00,15.28046842,0.0001252,53.1278,274.2343,95.8564,264.2578,0,U,57944,999,3521,0.00020642,5.375e-05,0.0,China
SKYKRAFT-3D,2023-084BZ,2024-05-04 20:54:25.646688+00:00,15.20003522,0.0011173,97.5367,244.5956,158.2879,201.8832,0,U,57956,999,3599,0.0004963,0.00010645,0.0,Norfolk Island
STARLINK-30508,2023-151R,2024-05-04 12:18:48.970656+00:00,15.02536778,9.79e-05,43.0043,55.3347,275.6226,84.4504,0,U,57979,999,3410,0.00011962,1.413e-05,0.0,China
STARLINK-30515,2023-151V,2024-05-04 20:03:05.230944+00:00,15.02536981,0.000134,43.0044,53.453,260.7922,99.2768,0,U,57983,999,3414,0.0010806,0.00014424,0.0,French Southern Territories
ANSER-FLW1,2023-155D,2024-05-04 19:57:37.672992+00:00,15.00724224,0.0004708,97.6445,196.2544,279.9854,80.0838,0,U,58019,999,3128,0.00049674,6.239e-05,0.0,French Polynesia
STARLINK-30547,2023-156S,2024-05-04 07:13:17.385024+00:00,15.05574272,0.0001652,53.1258,343.4802,86.7042,273.4137,0,U,58044,999,3287,-0.00027035,-4.215e-05,0.0,Thailand
STARLINK-30550,2023-156T,2024-05-04 16:30:17.059680+00:00,15.42881528,9.47e-05,53.1055,265.6045,68.7744,291.3363,0,U,58045,999,3398,-2.0973e-05,-1.35e-05,0.0,French Polynesia
STARLINK-30548,2023-156U,2024-05-04 07:58:46.953696+00:00,15.05572188,0.0001418,53.132,343.7032,90.0135,270.1017,0,U,58046,999,3282,0.00060967,8.612e-05,0.0,China
STARLINK-30575,2023-158B,2024-05-04 07:35:15.106848+00:00,15.02526084,0.0001079,43.0031,95.0667,268.1971,91.8747,0,U,58052,999,3208,-7.2067e-05,-1.177e-05,0.0,Bahamas
STARLINK-30603,2023-160F,2024-05-04 02:53:55.176864+00:00,15.02529706,8.21e-05,43.0019,145.8058,251.0995,108.9759,0,U,58080,999,3141,-1.233e-05,-3.7e-06,0.0,Latvia
STARLINK-30581,2023-160X,2024-05-04 11:21:19.937088+00:00,15.02524236,0.000132,43.0028,144.1346,271.7632,88.3059,0,U,58096,999,3151,-3.747e-05,-7.1e-06,0.0,French Southern Territories
STARLINK-30616,2023-161J,2024-05-04 04:54:51.588000+00:00,15.28011044,0.0001532,53.1131,56.291,100.1603,259.9569,0,U,58105,999,3105,-0.00013232,-4.013e-05,0.0,Bosnia and Herzegovina
STARLINK-30765,2023-162B,2024-05-04 09:14:06.390816+00:00,15.02519778,0.0001655,42.9985,197.3481,274.168,85.8973,0,U,58119,999,3086,-0.0013842,-0.00018844,0.0,Philippines
STARLINK-30785,2023-167S,2024-05-03 22:25:55.303968+00:00,15.02526566,0.0001502,42.9983,212.4368,64.8562,295.2436,0,U,58191,999,2940,-0.00029345,-4.164e-05,0.0,Djibouti
STARLINK-30839,2023-170D,2024-05-04 15:23:22.900992+00:00,15.02517358,0.000143,43.0025,258.6299,282.304,77.7642,0,U,58209,999,2890,-0.00042417,-5.926e-05,0.0,Egypt
STARLINK-30805,2023-170J,2024-05-03 19:55:27.420672+00:00,15.02535435,0.000133,43.0039,262.8653,271.6405,88.4285,0,U,58214,999,2877,-4.2619e-06,-2.61e-06,0.0,Mayotte
STARLINK-30873,2023-171V,2024-05-04 20:17:18.604608+00:00,15.02534012,0.0001759,43.0035,347.3109,272.5108,87.5533,0,U,58249,999,2838,0.00022795,2.877e-05,0.0,Mayotte
